Wang,Xu,Cole,Rogers,Henn,Immel,Peter,Zen,Zeberg,Ferrando-Bernal,Nishida,Hernandez
15,10,100,0,9,67,55,100,3,0,0,0
65,67,100,100,100,65,100,52,100,100,54,0
64,49,98,89,33,100,65,99,73,60,50,36
0,0,0,0,0,0,0,0,0,0,100,100
100,77,96,30,16,37,39,3,23,36,8,5
90,90,90,90,70,20,85,90,80,25,25,65
9,100,9,91,74,100,88,8,100,7,83,7
100,0,68,51,5,3,1,85,1,33,1,12
100,1,100,0,100,50,0,0,0,0,0,0
10,10,20,10,20,10,10,30,10,10,100,100
100,49,70,50,100,100,49,51,48,62,31,23
0,100,20,50,0,64,81,100,100,0,0,0
100,24,100,100,97,100,100,67,62,100,57,78
80,100,100,100,90,89,100,0,80,0,0,0
0,6,0,0,0,0,0,9,100,0,100,100
50,31,88,100,57,57,88,50,22,41,10,15
0,0,0,0,0,0,0,100,0,0,0,0
52,100,12,13,62,26,52,27,47,49,81,52
0,100,0,100,100,0,74,75,19,14,61,100
3,3,3,4,70,2,70,5,70,3,100,3
55,20,18,64,19,33,62,65,100,22,3,17
1,1,1,1,100,1,1,1,1,1,1,1
100,50,90,65,95,90,60,75,30,80,0,65
40,80,60,60,100,60,80,50,50,80,70,60
1,1,50,1,100,1,1,1,1,50,1,1
74,43,87,90,87,73,78,100,17,67,2,1
100,85,80,90,70,70,65,50,90,60,65,60
80,40,60,50,70,50,1,100,60,75,100,100
51,49,96,100,98,15,99,12,13,13,19,18
1,1,2,100,1,100,100,4,100,100,100,100
74,74,73,100,0,48,66,16,67,29,0,0
