Ioannidis,Betti,Covid,Schlebusch,Immel,Zen,Progerterone,Xu,Hernandez,Wang,Hicks,Chakraborty,Cawthon,Sinding
77,96,44,100,80,50,86,60,0,73,37,52,50,36
92,82,97,100,53,9,91,96,58,99,46,88,19,22
50,1,2,48,2,85,1,1,86,50,100,11,50,100
10,8,23,31,0,0,2,0,95,48,100,50,0,64
83,94,29,86,90,100,64,69,90,95,38,100,30,35
0,0,68,67,0,0,21,18,90,57,79,62,89,0
0,1,100,0,1,100,0,0,0,1,0,1,1,0
92,0,98,93,0,0,0,0,7,100,0,8,14,0
66,82,35,85,61,0,6,30,0,90,80,100,7,56
100,0,80,50,30,80,65,10,20,60,70,90,45,50
51,61,99,51,80,30,100,52,60,54,55,83,100,53
0,0,0,0,0,0,0,0,100,0,100,0,0,0
85,60,85,90,60,80,86,64,20,80,40,75,90,72
76,100,50,25,75,50,10,50,0,100,100,75,15,0
0,0,0,0,0,0,100,100,100,0,100,0,56,25
0,50,100,100,50,0,90,50,100,90,70,90,46,95
70,50,0,81,88,0,0,0,0,28,0,27,0,0
50,26,76,76,3,25,25,10,52,52,3,3,51,25
6,13,19,77,13,37,33,4,19,23,7,31,40,43
80,60,80,40,20,20,20,30,60,20,40,60,80,80
100,40,50,50,50,50,50,50,50,50,40,80,40,80
44,50,5,47,36,100,14,9,9,65,9,75,80,8
100,77,100,100,89,47,100,78,79,100,72,72,64,100
0,0,0,0,0,0,0,100,0,0,0,0,0,0
85,5,5,100,30,8,40,10,55,70,22,20,22,6
87,12,74,51,15,4,5,6,50,18,61,39,18,100
83,100,23,100,90,73,25,100,0,90,0,96,100,0
